iter	Passed	Remaining
0	173	173615
1	174	87229
2	175	58490
3	191	47674
4	192	38302
5	193	32010
6	194	27525
7	194	24157
8	195	21556
9	196	19481
10	197	17772
11	198	16338
12	199	15123
13	202	14273
14	203	13368
15	204	12568
16	205	11863
17	206	11240
18	207	10690
19	207	10189
20	208	9729
21	209	9316
22	210	8938
23	211	8602
24	212	8288
25	214	8026
26	215	7761
27	216	7512
28	217	7274
29	218	7049
30	218	6839
31	219	6642
32	220	6472
33	221	6299
34	222	6134
35	223	5976
36	223	5828
37	226	5727
38	227	5608
39	228	5481
40	229	5358
41	229	5244
42	230	5137
43	231	5033
44	232	4938
45	233	4841
46	234	4748
47	234	4659
48	236	4582
49	237	4504
50	238	4445
51	239	4371
52	241	4308
53	241	4238
54	242	4170
55	243	4103
56	244	4043
57	245	3985
58	246	3931
59	247	3875
60	248	3819
61	248	3765
62	251	3742
63	252	3697
64	253	3648
65	254	3599
66	255	3552
67	255	3501
68	256	3459
69	257	3420
70	258	3379
71	259	3338
72	259	3298
73	260	3259
74	261	3221
75	262	3193
76	264	3165
77	264	3132
78	265	3099
79	266	3068
80	267	3039
81	268	3007
82	269	2976
83	270	2945
84	270	2912
85	271	2888
86	272	2859
87	273	2832
88	274	2805
89	275	2786
90	277	2769
91	278	2748
92	279	2726
93	280	2702
94	281	2679
95	282	2658
96	283	2634
97	283	2611
98	284	2588
99	285	2566
100	285	2544
101	286	2523
102	288	2510
103	289	2493
104	290	2474
105	291	2459
106	292	2440
107	293	2420
108	293	2401
109	294	2382
110	295	2367
111	296	2350
112	297	2332
113	297	2315
114	298	2298
115	299	2279
116	301	2275
117	302	2262
118	303	2246
119	304	2234
120	305	2221
121	307	2210
122	307	2193
123	308	2178
124	309	2163
125	309	2149
126	310	2134
127	311	2119
128	313	2114
129	313	2101
130	314	2088
131	315	2075
132	316	2062
133	317	2049
134	318	2037
135	318	2025
136	319	2012
137	320	1999
138	320	1987
139	321	1975
140	322	1966
141	324	1963
142	326	1956
143	327	1946
144	328	1935
145	329	1924
146	329	1913
147	330	1902
148	331	1891
149	332	1883
150	333	1873
151	333	1862
152	334	1852
153	335	1841
154	336	1832
155	339	1834
156	339	1824
157	340	1815
158	341	1805
159	342	1797
160	343	1789
161	344	1780
162	344	1771
163	345	1761
164	346	1753
165	347	1745
166	348	1739
167	350	1738
168	352	1731
169	353	1725
170	354	1717
171	355	1710
172	356	1703
173	357	1697
174	358	1691
175	359	1685
176	361	1679
177	363	1676
178	364	1671
179	365	1665
180	365	1655
181	366	1648
182	371	1660
183	376	1668
184	378	1668
185	380	1666
186	383	1668
187	384	1662
188	386	1658
189	387	1652
190	388	1645
191	395	1664
192	398	1667
193	400	1665
194	401	1659
195	402	1652
196	403	1645
197	404	1639
198	405	1632
199	406	1625
200	408	1624
201	410	1621
202	411	1615
203	412	1608
204	413	1602
205	414	1597
206	415	1593
207	416	1586
208	421	1594
209	425	1601
210	427	1599
211	431	1603
212	432	1598
213	436	1602
214	437	1596
215	438	1590
216	439	1584
217	439	1577
218	440	1570
219	441	1564
220	442	1558
221	445	1561
222	447	1559
223	448	1553
224	449	1548
225	450	1542
226	451	1536
227	452	1531
228	453	1525
229	453	1519
230	454	1512
231	457	1515
232	459	1513
233	460	1508
234	461	1503
235	462	1497
236	463	1491
237	464	1485
238	465	1481
239	465	1475
240	466	1469
241	467	1463
242	468	1458
243	471	1459
244	472	1455
245	472	1449
246	474	1445
247	475	1442
248	476	1437
249	478	1435
250	479	1430
251	480	1426
252	481	1421
253	482	1416
254	483	1412
255	484	1409
256	492	1423
257	493	1420
258	495	1416
259	496	1412
260	499	1413
261	500	1410
262	501	1406
263	503	1404
264	504	1400
265	506	1398
266	509	1399
267	510	1395
268	512	1391
269	513	1387
270	513	1382
271	515	1378
272	516	1374
273	517	1370
274	519	1368
275	520	1366
276	523	1365
277	524	1361
278	525	1359
279	527	1357
280	528	1353
281	530	1349
282	531	1345
283	532	1341
284	534	1341
285	536	1339
286	537	1336
287	539	1334
288	541	1333
289	543	1330
290	545	1328
291	546	1325
292	547	1321
293	548	1318
294	550	1314
295	553	1316
296	555	1313
297	556	1310
298	557	1307
299	559	1305
300	560	1302
301	565	1305
302	567	1304
303	568	1301
304	569	1298
305	570	1294
306	571	1289
307	572	1285
308	572	1280
309	575	1279
310	576	1276
311	577	1272
312	577	1268
313	578	1264
314	579	1260
315	580	1257
316	581	1253
317	583	1250
318	586	1251
319	587	1248
320	588	1243
321	588	1239
322	589	1235
323	590	1231
324	591	1227
325	591	1223
326	592	1219
327	593	1215
328	594	1211
329	594	1207
330	597	1206
331	598	1204
332	599	1200
333	600	1196
334	601	1194
335	602	1190
336	603	1187
337	604	1183
338	605	1180
339	606	1177
340	612	1183
341	613	1180
342	615	1178
343	616	1175
344	617	1171
